run_id,seed,mode,guesser_model,secret_model,num_games,num_wins,judge_win_count,avg_win_score,avg_efficiency_score,avg_secret_reliability_score,avg_semantic_relevance_score,avg_canonical_coverage_score,avg_information_gain_score,avg_llm_judge_strategy,avg_llm_judge_question_quality,avg_llm_judge_logical_consistency,avg_llm_judge_secret_accuracy,avg_llm_judge_guesser_format,avg_layer3_score,judge_layer1_agreement,avg_hints_used,avg_web_searches_used,avg_tool_calls_used,avg_diversity,energy_kwh,energy_per_game_wh,co2_g,co2_per_game_g,adjusted_co2_per_game_g
slurm-batch8680-seed1-8704,1,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,3,3,0.333,0.211,0.983,0.671,0.455,0.355,0.543,0.642,0.864,0.901,0.975,0.785,1.0,4.444,1.444,5.889,0.2432,0.0,,0.0,,
slurm-batch8680-seed2-8705,2,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,2,2,0.222,0.167,1.0,0.64,0.499,0.131,0.531,0.556,0.901,1.0,1.0,0.798,1.0,4.111,1.111,5.222,0.2361,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen2.5-3B-Instruct-20260406101959-seed10-9092,10,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,1,1,0.111,0.111,1.0,0.682,0.47,0.289,0.506,0.531,0.802,1.0,0.914,0.751,1.0,3.889,2.222,6.111,0.2543,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen2.5-3B-Instruct-20260406101959-seed3-9085,3,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,3,3,0.333,0.117,0.994,0.662,0.466,0.252,0.506,0.568,0.716,1.0,0.975,0.753,1.0,4.333,1.778,6.111,0.2407,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen2.5-3B-Instruct-20260406101959-seed7-9089,7,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,1,1,0.111,0.022,1.0,0.643,0.403,0.238,0.444,0.506,0.84,1.0,1.0,0.758,1.0,4.111,1.556,5.667,0.2369,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen2.5-3B-Instruct-20260406144709-seed4-9240,4,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,5,5,0.556,0.394,0.961,0.682,0.54,0.373,0.654,0.704,1.0,1.0,0.926,0.857,1.0,4.556,0.667,5.222,0.2495,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen2.5-3B-Instruct-20260406144709-seed5-9241,5,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,2,2,0.222,0.139,1.0,0.658,0.509,0.242,0.42,0.42,0.79,1.0,0.975,0.721,1.0,4.556,0.556,5.111,0.2482,0.0,,0.0,,
slurm-batch8681-seed1-8702,1,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,3,3,0.333,0.111,1.0,0.643,0.493,0.251,0.556,0.58,0.802,1.0,0.963,0.78,1.0,2.889,1.111,4.0,0.2368,0.0,,0.0,,
slurm-batch8681-seed2-8703,2,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,2,2,0.222,0.167,0.963,0.65,0.535,0.347,0.58,0.642,0.975,1.0,0.988,0.837,1.0,3.333,1.111,4.444,0.2622,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen3-8B-20260406102007-seed5-9095,5,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,1,1,0.111,0.072,0.994,0.66,0.513,0.287,0.617,0.593,1.0,1.0,0.963,0.835,1.0,3.333,0.778,4.111,0.2522,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen3-8B-20260406102007-seed8-9098,8,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,4,4,0.444,0.3,0.949,0.667,0.609,0.371,0.716,0.741,1.0,1.0,0.963,0.884,1.0,2.778,0.889,3.667,0.2485,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen3-8B-20260406144715-seed4-9246,4,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,1,1,0.111,0.072,1.0,0.676,0.485,0.338,0.679,0.704,0.926,1.0,0.951,0.852,1.0,3.667,0.222,3.889,0.2457,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen3-8B-20260406144715-seed6-9247,6,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,1,1,0.111,0.111,0.989,0.665,0.52,0.247,0.531,0.63,0.704,1.0,0.951,0.763,1.0,3.556,0.333,3.889,0.2519,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen3-8B-20260406144715-seed9-9249,9,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-8B,9,4,4,0.444,0.317,0.956,0.672,0.626,0.34,0.815,0.79,1.0,1.0,1.0,0.921,1.0,3.667,1.0,4.667,0.2505,0.0,,0.0,,
slurm-batch8678-seed1-8699,1,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,2,2,0.222,0.167,1.0,0.654,0.52,0.233,0.58,0.605,0.79,1.0,0.938,0.783,1.0,3.667,1.0,4.667,0.2468,0.0,,0.0,,
slurm-batch8678-seed2-8701,2,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,3,3,0.333,0.2,0.994,0.637,0.529,0.319,0.704,0.765,0.951,1.0,1.0,0.884,1.0,2.778,0.222,3.0,0.2534,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen3.5-4B-Base-20260406102015-seed10-9108,10,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,6,6,0.667,0.528,1.0,0.63,0.655,0.352,0.741,0.765,0.901,1.0,1.0,0.881,1.0,3.111,1.0,4.111,0.2298,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen3.5-4B-Base-20260406102015-seed3-9101,3,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,3,3,0.333,0.211,0.95,0.66,0.525,0.318,0.679,0.704,0.975,0.79,1.0,0.83,1.0,3.222,0.667,3.889,0.2484,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen3.5-4B-Base-20260406102015-seed5-9103,5,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,3,3,0.333,0.189,0.984,0.659,0.493,0.424,0.654,0.691,0.765,1.0,0.988,0.82,1.0,3.889,0.0,3.889,0.234,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen3.5-4B-Base-20260406144722-seed4-9251,4,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,3,4,0.333,0.161,0.989,0.658,0.51,0.371,0.753,0.741,0.951,1.0,0.975,0.884,0.889,3.444,1.222,4.667,0.2402,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen3.5-4B-Base-20260406144722-seed6-9252,6,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,2,2,0.222,0.133,0.994,0.676,0.498,0.341,0.469,0.469,0.877,0.914,0.975,0.741,1.0,3.556,0.556,4.111,0.2327,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen3.5-4B-Base-20260406144722-seed7-9253,7,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,4,4,0.444,0.306,0.989,0.672,0.542,0.44,0.753,0.79,0.926,1.0,1.0,0.894,1.0,3.778,1.0,4.778,0.2347,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen3.5-4B-Base-20260406144722-seed8-9254,8,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,3,3,0.333,0.211,0.994,0.649,0.532,0.343,0.63,0.728,0.877,1.0,0.951,0.837,1.0,3.0,1.667,4.667,0.2407,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-1.5B-Instruct-to-Qwen3.5-4B-Base-20260406144722-seed9-9255,9,tool,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen3.5-4B-Base,9,4,4,0.444,0.306,1.0,0.633,0.601,0.328,0.593,0.642,0.802,1.0,0.975,0.802,1.0,3.444,0.667,4.111,0.2602,0.0,,0.0,,
slurm-batch8683-seed1-8708,1,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,9,9,1.0,0.633,1.0,0.642,0.638,0.387,0.938,0.963,1.0,0.926,1.0,0.965,1.0,1.778,0.0,1.778,0.2354,0.0,,0.0,,
slurm-batch8683-seed2-8709,2,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,7,7,0.778,0.506,1.0,0.629,0.655,0.374,0.889,0.926,1.0,0.988,1.0,0.96,1.0,1.778,0.0,1.778,0.2441,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-3B-Instruct-to-Qwen2.5-1.5B-Instruct-20260406102024-seed10-9116,10,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,8,8,0.889,0.617,1.0,0.61,0.776,0.342,0.963,1.0,1.0,1.0,1.0,0.993,1.0,1.444,0.0,1.444,0.2571,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-3B-Instruct-to-Qwen2.5-1.5B-Instruct-20260406102024-seed5-9111,5,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,6,6,0.667,0.5,1.0,0.611,0.678,0.342,0.864,0.864,1.0,1.0,1.0,0.946,1.0,1.556,0.0,1.556,0.2223,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-3B-Instruct-to-Qwen2.5-1.5B-Instruct-20260406102024-seed8-9114,8,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,7,7,0.778,0.55,1.0,0.638,0.713,0.34,0.864,0.864,1.0,0.84,1.0,0.914,1.0,1.111,0.0,1.111,0.2465,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-3B-Instruct-to-Qwen2.5-1.5B-Instruct-20260406144728-seed6-9258,6,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,7,7,0.778,0.539,1.0,0.624,0.627,0.303,0.84,0.877,0.914,1.0,1.0,0.926,1.0,1.444,0.111,1.556,0.2191,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-3B-Instruct-to-Qwen2.5-1.5B-Instruct-20260406144728-seed9-9260,9,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,9,7,7,0.778,0.572,1.0,0.624,0.758,0.31,0.889,0.926,1.0,0.951,1.0,0.953,1.0,1.778,0.0,1.778,0.254,0.0,,0.0,,
slurm-batch8684-seed1-8786,1,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,4,4,0.444,0.233,0.989,0.636,0.62,0.241,0.765,0.802,0.938,1.0,1.0,0.901,1.0,2.556,0.0,2.556,0.2179,0.0,,0.0,,
slurm-batch8684-seed10-8969,10,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,3,3,0.333,0.161,1.0,0.635,0.599,0.216,0.778,0.802,0.951,1.0,0.963,0.899,1.0,3.667,0.556,4.222,0.2432,0.0,,0.0,,
slurm-batch8684-seed2-8787,2,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,1,1,0.111,0.094,1.0,0.651,0.639,0.264,0.605,0.741,1.0,1.0,0.975,0.864,1.0,3.0,0.222,3.222,0.2459,0.0,,0.0,,
slurm-batch8684-seed3-8817,3,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,1,1,0.111,0.072,1.0,0.659,0.484,0.21,0.654,0.691,1.0,1.0,0.975,0.864,1.0,3.222,1.222,4.444,0.2338,0.0,,0.0,,
slurm-batch8684-seed4-8818,4,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,0,0,0.0,0.0,1.0,0.651,0.533,0.19,0.617,0.753,1.0,1.0,0.963,0.867,1.0,3.667,0.667,4.333,0.2435,0.0,,0.0,,
slurm-batch8684-seed5-8856,5,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,2,2,0.222,0.094,1.0,0.637,0.569,0.223,0.667,0.642,1.0,1.0,0.963,0.854,1.0,2.556,0.444,3.0,0.2224,0.0,,0.0,,
slurm-batch8684-seed6-8857,6,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,1,1,0.111,0.044,1.0,0.663,0.535,0.315,0.654,0.778,1.0,1.0,1.0,0.886,1.0,3.667,0.111,3.778,0.2507,0.0,,0.0,,
slurm-batch8684-seed7-8870,7,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,2,1,0.222,0.044,1.0,0.648,0.507,0.282,0.691,0.691,1.0,1.0,1.0,0.877,0.889,3.333,0.222,3.556,0.2299,0.0,,0.0,,
slurm-batch8684-seed8-8871,8,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,3,3,0.333,0.211,1.0,0.648,0.624,0.289,0.679,0.753,1.0,1.0,1.0,0.886,1.0,3.0,0.0,3.0,0.2501,0.0,,0.0,,
slurm-batch8684-seed9-8968,9,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,9,1,1,0.111,0.072,1.0,0.642,0.532,0.268,0.704,0.679,1.0,1.0,0.975,0.872,1.0,3.0,0.556,3.556,0.2383,0.0,,0.0,,
slurm-batch8685-seed1-8790,1,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3-8B,9,1,1,0.111,0.044,1.0,0.645,0.519,0.339,0.753,0.815,0.951,1.0,0.963,0.896,1.0,2.556,0.0,2.556,0.2299,0.0,,0.0,,
slurm-batch8685-seed10-8967,10,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3-8B,9,3,3,0.333,0.089,0.994,0.634,0.447,0.283,0.79,0.802,1.0,1.0,0.963,0.911,1.0,3.0,0.111,3.111,0.2306,0.0,,0.0,,
slurm-batch8685-seed2-8791,2,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3-8B,9,1,1,0.111,0.022,1.0,0.646,0.516,0.392,0.704,0.802,1.0,1.0,0.963,0.894,1.0,3.0,0.111,3.111,0.2579,0.0,,0.0,,
slurm-batch8685-seed3-8840,3,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3-8B,9,1,1,0.111,0.094,1.0,0.644,0.49,0.295,0.716,0.753,0.901,1.0,0.975,0.869,1.0,2.444,0.111,2.556,0.2363,0.0,,0.0,,
slurm-batch8685-seed4-8841,4,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3-8B,9,0,0,0.0,0.0,1.0,0.632,0.521,0.278,0.519,0.556,0.827,1.0,0.963,0.773,1.0,1.889,0.222,2.111,0.2474,0.0,,0.0,,
slurm-batch8685-seed5-8862,5,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3-8B,9,2,2,0.222,0.094,1.0,0.635,0.481,0.299,0.691,0.79,1.0,0.914,1.0,0.879,1.0,1.889,0.222,2.111,0.238,0.0,,0.0,,
slurm-batch8685-seed6-8863,6,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3-8B,9,3,3,0.333,0.117,1.0,0.665,0.488,0.375,0.753,0.753,0.938,1.0,1.0,0.889,1.0,2.333,0.111,2.444,0.232,0.0,,0.0,,
slurm-batch8685-seed7-8956,7,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3-8B,9,1,1,0.111,0.044,0.994,0.661,0.494,0.293,0.691,0.716,1.0,1.0,0.975,0.877,1.0,3.333,0.111,3.444,0.2413,0.0,,0.0,,
slurm-batch8685-seed8-8957,8,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3-8B,9,2,2,0.222,0.044,0.994,0.646,0.499,0.363,0.753,0.79,1.0,0.901,1.0,0.889,1.0,3.222,0.0,3.222,0.2401,0.0,,0.0,,
slurm-batch8685-seed9-8966,9,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3-8B,9,3,3,0.333,0.089,1.0,0.645,0.531,0.282,0.79,0.815,1.0,1.0,0.963,0.914,1.0,2.667,0.111,2.778,0.241,0.0,,0.0,,
slurm-batch8682-seed1-8706,1,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3.5-4B-Base,9,3,3,0.333,0.111,1.0,0.643,0.519,0.263,0.667,0.704,0.975,1.0,1.0,0.869,1.0,3.0,0.0,3.0,0.2332,0.0,,0.0,,
slurm-batch8682-seed2-8707,2,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3.5-4B-Base,9,5,5,0.556,0.306,1.0,0.65,0.619,0.381,0.852,0.852,1.0,1.0,1.0,0.941,1.0,2.889,0.0,2.889,0.2559,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-3B-Instruct-to-Qwen3.5-4B-Base-20260406102032-seed5-9119,5,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3.5-4B-Base,9,4,4,0.444,0.133,1.0,0.623,0.552,0.253,0.778,0.84,1.0,1.0,1.0,0.923,1.0,2.111,0.0,2.111,0.2441,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-3B-Instruct-to-Qwen3.5-4B-Base-20260406102032-seed7-9121,7,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3.5-4B-Base,9,2,2,0.222,0.139,1.0,0.638,0.531,0.319,0.654,0.79,0.889,1.0,1.0,0.867,1.0,1.444,0.0,1.444,0.2375,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-3B-Instruct-to-Qwen3.5-4B-Base-20260406144735-seed10-9266,10,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3.5-4B-Base,9,2,2,0.222,0.117,1.0,0.628,0.544,0.28,0.654,0.704,1.0,1.0,1.0,0.872,1.0,2.556,0.0,2.556,0.2334,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-3B-Instruct-to-Qwen3.5-4B-Base-20260406144735-seed3-9261,3,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3.5-4B-Base,9,2,2,0.222,0.089,1.0,0.616,0.435,0.334,0.506,0.667,0.914,1.0,0.963,0.81,1.0,1.0,0.0,1.0,0.2141,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-3B-Instruct-to-Qwen3.5-4B-Base-20260406144735-seed6-9263,6,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3.5-4B-Base,9,2,2,0.222,0.117,1.0,0.633,0.514,0.297,0.642,0.654,1.0,1.0,0.975,0.854,1.0,3.0,0.0,3.0,0.2485,0.0,,0.0,,
slurm-batchrerun-Qwen2.5-3B-Instruct-to-Qwen3.5-4B-Base-20260406144735-seed9-9265,9,tool,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen3.5-4B-Base,9,3,3,0.333,0.139,1.0,0.651,0.604,0.32,0.827,0.852,1.0,1.0,1.0,0.936,1.0,2.333,0.111,2.444,0.2418,0.0,,0.0,,
slurm-batch8687-seed1-8792,1,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-1.5B-Instruct,9,8,7,0.889,0.483,1.0,0.638,0.679,0.428,0.951,0.975,1.0,0.889,1.0,0.963,0.889,2.0,0.222,2.222,0.2547,0.0,,0.0,,
slurm-batch8687-seed10-8983,10,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-1.5B-Instruct,9,7,7,0.778,0.394,1.0,0.643,0.686,0.378,0.914,0.926,0.988,0.84,0.963,0.926,1.0,2.111,0.111,2.222,0.2487,0.0,,0.0,,
slurm-batch8687-seed2-8793,2,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-1.5B-Instruct,9,8,8,0.889,0.439,1.0,0.621,0.712,0.278,0.938,1.0,1.0,1.0,1.0,0.988,1.0,1.889,0.222,2.111,0.2574,0.0,,0.0,,
slurm-batch8687-seed3-8844,3,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-1.5B-Instruct,9,8,7,0.889,0.478,1.0,0.633,0.726,0.433,0.951,0.975,1.0,0.889,1.0,0.963,0.889,1.444,0.0,1.444,0.2544,0.0,,0.0,,
slurm-batch8687-seed5-8978,5,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-1.5B-Instruct,9,8,8,0.889,0.367,1.0,0.633,0.73,0.361,0.926,0.963,1.0,1.0,1.0,0.978,1.0,2.667,0.0,2.667,0.259,0.0,,0.0,,
slurm-batch8687-seed6-8979,6,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-1.5B-Instruct,9,8,8,0.889,0.444,1.0,0.635,0.733,0.339,0.901,0.988,1.0,1.0,0.988,0.975,1.0,1.889,0.111,2.0,0.2528,0.0,,0.0,,
slurm-batch8687-seed7-8980,7,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-1.5B-Instruct,9,9,9,1.0,0.522,1.0,0.646,0.764,0.355,0.963,1.0,1.0,1.0,1.0,0.993,1.0,2.222,0.0,2.222,0.2552,0.0,,0.0,,
slurm-batch8687-seed8-8981,8,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-1.5B-Instruct,9,8,8,0.889,0.556,1.0,0.642,0.78,0.412,0.951,0.988,1.0,1.0,1.0,0.988,1.0,1.111,0.333,1.444,0.2556,0.0,,0.0,,
slurm-batch8687-seed9-8982,9,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-1.5B-Instruct,9,9,9,1.0,0.544,1.0,0.643,0.842,0.314,0.975,1.0,1.0,1.0,1.0,0.995,1.0,2.0,0.0,2.0,0.2587,0.0,,0.0,,
slurm-batchrerun-Qwen3-8B-to-Qwen2.5-1.5B-Instruct-20260406144742-seed4-9267,4,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-1.5B-Instruct,9,9,9,1.0,0.533,1.0,0.645,0.762,0.302,0.975,1.0,1.0,1.0,1.0,0.995,1.0,1.667,0.0,1.667,0.2563,0.0,,0.0,,
slurm-batch8688-seed1-8794,1,tool,Qwen/Qwen3-8B,Qwen/Qwen2.5-3B-Instruct,9,5,5,0.556,0.272,1.0,0.638,0.759,0.414,0.852,0.84,1.0,1.0,0.963,0.931,1.0,2.556,0.111,2.667,0.2789,0.0,,0.0,,
